Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
FDA15,9.3,0.016047301,249.8092,OUT049,3735.138,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRC01,5.92,0.019278216,48.2692,OUT018,443.4228,9,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
FDN15,17.5,0.016760075,141.618,OUT049,2097.27,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDX07,19.2,0.0,182.095,OUT010,732.38,20,3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
NCD19,8.93,0.0,53.8614,OUT013,994.7052,31,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDP36,10.395,0.0,51.4008,OUT018,556.6088,9,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO10,13.65,0.012741089,57.6588,OUT013,343.5528,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP10,12.792854228644284,0.127469857,107.7622,OUT027,4022.7636,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH17,16.2,0.016687114,96.9726,OUT045,1076.5986,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDU28,19.2,0.09444959,187.8214,OUT017,4710.535,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDY07,11.8,0.0,45.5402,OUT049,1516.0266,19,3,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDA03,18.5,0.045463773,144.1102,OUT046,2187.153,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,OUT049,1589.2646,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDS46,17.6,0.047257328,119.6782,OUT046,2145.2076,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDF32,16.35,0.0680243,196.4426,OUT013,1977.426,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP49,9.0,0.069088961,56.3614,OUT046,1547.3192,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,1621.8888,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP49,9.0,0.069196376,54.3614,OUT049,718.3982,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
DRI11,12.792854228644284,0.034237682,113.2834,OUT027,2303.668,33,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDU02,13.35,0.10249212,230.5352,OUT035,2748.4224,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDN22,18.85,0.138190277,250.8724,OUT013,3775.086,31,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDW12,12.792854228644284,0.035399923,144.5444,OUT027,4064.0432,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
NCB30,14.6,0.025698134,196.5084,OUT035,1587.2672,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDC37,12.792854228644284,0.057556998,107.6938,OUT019,214.3876,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDR28,13.85,0.025896485,165.021,OUT046,4078.025,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCD06,13.0,0.099887103,45.906,OUT017,838.908,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDV10,7.645,0.066693437,42.3112,OUT035,1065.28,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
DRJ59,11.65,0.019356132,39.1164,OUT013,308.9312,31,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDE51,5.925,0.161466534,45.5086,OUT010,178.4344,20,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDC14,12.792854228644284,0.072221801,43.6454,OUT019,125.8362,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDV38,19.25,0.170348551,55.7956,OUT010,163.7868,20,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
NCS17,18.6,0.080829372,96.4436,OUT018,2741.7644,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP33,18.7,0.0,256.6672,OUT018,3068.0064,9,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO23,17.85,0.0,93.1436,OUT045,2174.5028,16,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRH01,17.5,0.097904029,174.8738,OUT046,2085.2856,21,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCX29,10.0,0.089291137,146.7102,OUT049,3791.0652,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDV20,12.792854228644284,0.059511812,128.0678,OUT027,2797.6916,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
DRZ11,8.85,0.113123893,122.5388,OUT018,1609.9044,9,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
FDX10,12.792854228644284,0.123111453,36.9874,OUT027,388.1614,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB34,12.792854228644284,0.026480954,87.6198,OUT027,2180.495,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDU02,13.35,0.102511504,230.6352,OUT046,3435.528,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDK43,9.8,0.02681843,126.002,OUT013,2150.534,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA46,13.6,0.117818348,192.9136,OUT049,2527.3768,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDC02,21.35,0.069102831,259.9278,OUT018,6768.5228,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDL50,12.15,0.042277867,126.5046,OUT013,373.5138,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM39,6.42,0.089498926,178.1002,OUT010,358.2004,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
NCP05,19.6,0.0,153.3024,OUT045,2428.8384,16,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDV49,10.0,0.025879577,265.2226,OUT045,5815.0972,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL12,15.85,0.121632721,60.622,OUT046,2576.646,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCL17,7.39,0.067779712,143.8812,OUT046,3134.5864,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDM40,10.195,0.159803853,141.5154,OUT013,850.8924,31,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR13,9.895,0.028696932,117.0492,OUT013,810.9444,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA43,10.895,0.065041581,196.3794,OUT017,3121.2704,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCP18,12.15,0.028760013,151.4708,OUT017,4815.0656,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDK21,7.905,0.010053105,249.0408,OUT018,6258.52,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCX54,9.195,0.048157338,106.1622,OUT045,2117.244,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
DRK35,8.365,0.071958197,38.0506,OUT049,796.9626,19,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDY21,15.1,0.173481304,194.511,OUT046,4910.275,21,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDI26,12.792854228644284,0.061082177,180.0344,OUT019,892.172,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDM20,10.0,0.0,246.9144,OUT018,3185.1872,9,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDV27,7.97,0.040071131,87.3514,OUT045,1062.6168,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDF09,12.792854228644284,0.012090074,38.2848,OUT027,484.7024,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDY40,12.792854228644284,0.15028599,51.0692,OUT019,147.8076,33,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDY45,12.792854228644284,0.026015519,255.8356,OUT027,2543.356,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH19,19.35,0.033082215,172.5738,OUT035,4865.6664,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ03,13.65,0.078946455,186.024,OUT045,1118.544,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRH37,17.6,0.041700756,164.8526,OUT045,2302.3364,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCI17,8.645,0.143422643,95.841,OUT046,2027.361,21,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDJ58,15.6,0.105296072,170.1764,OUT046,3435.528,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,OUT013,599.22,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDH35,18.25,0.0,164.7526,OUT045,4604.6728,16,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDG02,7.855,0.011324862,189.6188,OUT017,2285.0256,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCZ18,7.825,0.186357148,254.3698,OUT049,5580.7356,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,OUT046,2290.352,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,OUT049,1207.0954,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDN48,12.792854228644284,0.113720344,89.9804,OUT019,643.1628,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDL04,19.0,0.112556507,104.9622,OUT017,1587.933,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDV25,5.905,0.0,222.5456,OUT045,5305.0944,16,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD58,7.76,0.059352241,101.87,OUT046,1697.79,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,OUT046,1427.4752,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,OUT018,4693.89,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDR12,12.792854228644284,0.031382044,171.3764,OUT027,3091.9752,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDG20,15.5,0.12639886,177.0028,OUT017,2479.4392,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ55,6.055,0.025403898,160.992,OUT035,2716.464,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDQ49,12.792854228644284,0.039057677,155.963,OUT027,3285.723,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDN33,6.305,0.123115764,95.6436,OUT046,661.8052,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN27,20.85,0.039624006,117.2808,OUT049,1523.3504,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDW20,20.75,0.040421193,122.173,OUT010,369.519,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
DRG27,8.895,0.105274111,39.9138,OUT049,690.4346,19,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
DRI25,19.6,0.033970195,55.1614,OUT045,1381.535,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDA44,19.7,0.053212652,57.893,OUT035,622.523,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCR17,9.8,0.024378706,114.5492,OUT035,1274.3412,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDU04,12.792854228644284,0.009714595,120.0414,OUT019,487.3656,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
